# 41113 frames, 8 streams

===== 192.168.1.188:59465 -> 192.168.1.2:15740 (CLIENT ->) =====
  InitCommandReq guid=b6120b165fca97c2ba0ca1a34a5589b0 name='Bobbys-MacBook-Pro\x00' ver=0x10000
  CmdRequest  op=OpenSession                    txid=1 phase=0 params=['0xffff', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=LE_OpenSession                 txid=2 phase=0 params=['0xff55', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetDeviceInfo                  txid=3 phase=0 params=['0x0', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetDevicePropValue             txid=4 phase=0 params=['0xd652', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetDeviceInfo                  txid=5 phase=0 params=['0x0', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=0x9003                         txid=6 phase=0 params=['0x0', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetDevicePropValue             txid=7 phase=0 params=['0x5001', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetDevicePropValue             txid=8 phase=0 params=['0x501e', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetDevicePropValue             txid=9 phase=0 params=['0x501f', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetDevicePropValue             txid=10 phase=0 params=['0xd645', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectHandles               txid=11 phase=0 params=['0xffffffff', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=12 phase=0 params=['0x80000000', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=13 phase=0 params=['0x81900000', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=14 phase=0 params=['0x8190d951', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=15 phase=0 params=['0x8190d961', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=16 phase=0 params=['0x8190d971', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=17 phase=0 params=['0x8190d981', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=18 phase=0 params=['0x8190d991', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=19 phase=0 params=['0x8190d9a1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=20 phase=0 params=['0x8190d9b1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=21 phase=0 params=['0x8190d9c1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=22 phase=0 params=['0x8190d9d1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=23 phase=0 params=['0x8190d9e1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=24 phase=0 params=['0x8190d9f1', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=25 phase=0 params=['0x8190da01', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=26 phase=0 params=['0x8190da11', '0x0', '0x0', '0x0', '0x0']
  CmdRequest  op=GetObjectInfo                  txid=27 phase=0 params=['0x8190da21', '0x0', '0x0', '0x0', '0x0']
